customer_id,subscription_plan,region,device_type,usage_hours_per_week,support_tickets,customer_lifetime_month,monthly_fee,total_revenue,churn_flag,subscription_status,cancellation_reason
42,basic,North America,,2,,32,25,800,0,Active,None
43,Premium,South America,Desktop,6,1.0,23,90,2070,0,Active,None
44,Basic,Asia,Tablet,1,1.0,5,25,125,1,Cancelled,Low Usage
45,Basic,Europe,,3,3.0,25,25,625,0,Active,None
46,basic,NA,Mobile,7,1.0,35,25,875,0,Active,None
47,Basic,NA,Tablet,5,3.0,29,25,725,0,Active,None
48,enterprise,North America,,6,0.0,20,150,3000,0,Active,None
49,Basic,NA,Tablet,7,2.0,7,25,175,0,Active,None
50,Premium,NA,,-1,2.0,22,90,1980,0,Active,None
51,Premium,Europe,Desktop,4,2.0,18,90,1620,0,Active,None
52,Premium,Europe,Mobile,13,3.0,21,90,1890,0,Active,None
53,Premium,Asia,Tablet,3,3.0,22,90,1980,1,Cancelled,Low Usage
54,enterprise,North America,Mobile,8,3.0,12,150,1800,0,Active,None
55,STANDARD,NA,Desktop,12,0.0,11,50,550,0,Active,None
56,basic,Asia,,11,4.0,12,25,300,0,Active,None
57,Premium,North America,Mobile,17,3.0,26,90,2340,0,Active,None
58,Basic,NA,,9,3.0,30,25,750,0,Active,None
59,Premium,NA,Desktop,14,2.0,15,90,1350,0,Active,None
60,Basic,Europe,Tablet,14,,8,25,200,0,Active,None
61,Basic,South America,Desktop,1,1.0,18,25,450,1,Cancelled,Low Usage
62,Premium,North America,Mobile,10,1.0,10,90,900,0,Active,None
63,enterprise,NA,Mobile,7,0.0,8,150,1200,0,Active,None
64,Basic,North America,Mobile,-1,1.0,35,25,875,0,Active,None
65,Basic,Asia,,13,4.0,20,25,500,0,Active,None
66,Premium,Asia,Tablet,19,2.0,12,90,1080,0,Active,None
67,Basic,South America,Mobile,8,0.0,3,25,75,0,Active,None
68,Basic,NA,Mobile,-1,1.0,20,25,500,0,Active,None
69,Premium,Europe,Mobile,19,1.0,12,90,1080,0,Active,None
70,Premium,NA,Desktop,-2,,24,90,2160,1,Cancelled,Too Expensive
71,basic,North America,Mobile,0,2.0,16,25,400,1,Cancelled,Other
72,enterprise,Asia,Desktop,14,0.0,10,150,1500,0,Active,None
73,enterprise,North America,Mobile,16,2.0,19,150,2850,0,Active,None
74,Basic,South America,Desktop,17,0.0,14,25,350,0,Active,None
75,enterprise,Asia,,10,1.0,14,150,2100,0,Active,None
76,Basic,Europe,,4,2.0,22,25,550,1,Cancelled,Low Usage
77,basic,Asia,Desktop,-2,2.0,4,25,100,1,Cancelled,Better Alternative
78,Premium,NA,Tablet,15,4.0,34,90,3060,0,Active,None
79,Premium,NA,Tablet,6,,18,90,1620,0,Active,None
80,Premium,Asia,Desktop,1,2.0,34,90,3060,0,Active,None
81,enterprise,South America,,7,0.0,18,150,2700,0,Active,None
82,basic,NA,Desktop,5,4.0,31,25,775,0,Active,None
83,enterprise,NA,Tablet,12,2.0,20,150,3000,0,Active,None
84,enterprise,Europe,Desktop,1,2.0,10,150,1500,1,Cancelled,Technical Issues
85,basic,Asia,,11,4.0,3,25,75,1,Cancelled,Better Alternative
86,basic,NA,Tablet,10,1.0,21,25,525,0,Active,None
87,basic,South America,Tablet,5,2.0,10,25,250,0,Active,None
88,basic,North America,Mobile,16,3.0,7,25,175,0,Active,None
89,Premium,Asia,Mobile,1,,22,90,1980,1,Cancelled,Technical Issues
90,STANDARD,Europe,Tablet,11,1.0,23,50,1150,0,Active,None
91,STANDARD,NA,Tablet,5,2.0,12,50,600,0,Active,None
92,basic,South America,Desktop,0,1.0,13,25,325,1,Cancelled,Better Alternative
93,STANDARD,Asia,,17,0.0,13,50,650,0,Active,None
94,STANDARD,South America,Tablet,17,1.0,33,50,1650,0,Active,None
95,basic,South America,,0,4.0,31,25,775,1,Cancelled,Other
96,STANDARD,Europe,Tablet,16,2.0,28,50,1400,0,Active,None
97,enterprise,Asia,,17,1.0,19,150,2850,0,Active,None
98,Basic,NA,Mobile,18,3.0,21,25,525,0,Active,None
99,Basic,Europe,Tablet,3,0.0,32,25,800,0,Active,None
100,basic,NA,Desktop,11,0.0,26,25,650,0,Active,None
101,Premium,North America,,18,1.0,13,90,1170,0,Active,None
102,basic,South America,Tablet,13,4.0,29,25,725,0,Active,None
103,Premium,North America,Mobile,14,0.0,7,90,630,0,Active,None
104,Basic,South America,Mobile,3,1.0,26,25,650,1,Cancelled,Too Expensive
105,basic,Europe,Mobile,15,1.0,6,25,150,0,Active,None
106,enterprise,NA,Mobile,6,0.0,32,150,4800,0,Active,None
107,STANDARD,NA,Tablet,9,1.0,23,50,1150,0,Active,None
108,Premium,Europe,Desktop,-2,1.0,11,90,990,0,Active,None
109,STANDARD,Asia,,18,,21,50,1050,0,Active,None
110,STANDARD,North America,Desktop,16,3.0,19,50,950,0,Active,None
111,basic,North America,,7,1.0,34,25,850,0,Active,None
112,STANDARD,NA,Desktop,1,,35,50,1750,0,Active,None
113,enterprise,NA,Tablet,2,,31,150,4650,0,Active,None
114,STANDARD,NA,Tablet,-1,1.0,29,50,1450,1,Cancelled,Better Alternative
115,basic,Europe,,-3,4.0,6,25,150,1,Cancelled,Too Expensive
116,enterprise,Asia,Tablet,-1,0.0,31,150,4650,0,Active,None
117,Basic,North America,,-1,,32,25,800,1,Cancelled,Too Expensive
118,STANDARD,South America,Desktop,18,,20,50,1000,0,Active,None
119,basic,Europe,Tablet,0,4.0,22,25,550,1,Cancelled,Technical Issues
120,Basic,North America,Tablet,3,2.0,3,25,75,0,Active,None
121,Basic,Asia,,11,4.0,8,25,200,1,Cancelled,Technical Issues
122,Premium,Europe,,7,2.0,19,90,1710,0,Active,None
123,enterprise,North America,,14,2.0,31,150,4650,0,Active,None
124,STANDARD,Europe,,8,4.0,32,50,1600,0,Active,None
125,basic,North America,Mobile,0,3.0,15,25,375,1,Cancelled,Technical Issues
126,Premium,North America,,7,4.0,31,90,2790,0,Active,None
127,enterprise,Asia,Mobile,2,,3,150,450,1,Cancelled,Other
128,Premium,South America,Desktop,15,0.0,32,90,2880,0,Active,None
129,enterprise,Asia,,14,4.0,10,150,1500,0,Active,None
130,enterprise,North America,Mobile,11,3.0,28,150,4200,0,Active,None
131,STANDARD,Europe,Mobile,-1,4.0,27,50,1350,0,Active,None
132,enterprise,Asia,Mobile,13,3.0,31,150,4650,0,Active,None
133,Premium,South America,Tablet,-3,0.0,34,90,3060,0,Active,None
134,enterprise,North America,Mobile,-2,1.0,5,150,750,0,Active,None
135,STANDARD,Asia,,15,3.0,11,50,550,0,Active,None
136,STANDARD,Asia,,5,3.0,7,50,350,0,Active,None
137,Premium,Asia,,4,,8,90,720,0,Active,None
138,Basic,Asia,Mobile,8,3.0,17,25,425,0,Active,None
139,Basic,Europe,Mobile,11,0.0,14,25,350,0,Active,None
140,enterprise,South America,Tablet,19,2.0,24,150,3600,0,Active,None
141,basic,South America,Desktop,3,3.0,30,25,750,1,Cancelled,Too Expensive
142,enterprise,North America,Tablet,17,0.0,15,150,2250,0,Active,None
143,Premium,NA,,12,,4,90,360,0,Active,None
144,Premium,Europe,,3,,13,90,1170,1,Cancelled,Technical Issues
145,Premium,North America,,16,1.0,5,90,450,0,Active,None
146,Premium,North America,Tablet,17,3.0,31,90,2790,1,Cancelled,Low Usage
147,Premium,Asia,,8,2.0,12,90,1080,0,Active,None
148,STANDARD,NA,,13,0.0,30,50,1500,0,Active,None
149,Basic,NA,,7,1.0,10,25,250,0,Active,None
150,Premium,Europe,Mobile,0,2.0,30,90,2700,0,Active,None
151,basic,NA,Desktop,15,1.0,26,25,650,0,Active,None
152,basic,North America,Mobile,-2,2.0,6,25,150,0,Active,None
153,basic,NA,Mobile,-2,4.0,27,25,675,1,Cancelled,Low Usage
154,basic,NA,Desktop,13,4.0,20,25,500,0,Active,None
155,STANDARD,South America,Desktop,5,4.0,28,50,1400,0,Active,None
156,basic,North America,Tablet,18,1.0,20,25,500,0,Active,None
157,Premium,NA,Desktop,-3,4.0,12,90,1080,1,Cancelled,Better Alternative
158,enterprise,NA,Tablet,6,0.0,21,150,3150,0,Active,None
159,basic,Asia,Tablet,19,0.0,30,25,750,0,Active,None
160,STANDARD,NA,Mobile,11,4.0,10,50,500,0,Active,None
161,STANDARD,NA,,17,2.0,5,50,250,0,Active,None
162,basic,South America,Mobile,11,2.0,8,25,200,0,Active,None
163,enterprise,North America,Mobile,19,1.0,30,150,4500,0,Active,None
164,basic,Europe,Desktop,17,2.0,17,25,425,0,Active,None
165,STANDARD,North America,Desktop,-2,3.0,3,50,150,1,Cancelled,Too Expensive
166,Basic,Asia,Tablet,10,2.0,21,25,525,0,Active,None
167,Premium,North America,Tablet,0,0.0,16,90,1440,0,Active,None
168,STANDARD,NA,Tablet,14,,32,50,1600,0,Active,None
169,basic,Asia,Desktop,5,2.0,27,25,675,0,Active,None
170,Premium,North America,Tablet,-2,1.0,6,90,540,0,Active,None
171,basic,Asia,Tablet,-2,2.0,16,25,400,0,Active,None
172,basic,Europe,Desktop,14,1.0,3,25,75,0,Active,None
173,Basic,North America,,13,3.0,20,25,500,0,Active,None
174,Premium,NA,Mobile,5,4.0,7,90,630,0,Active,None
175,Premium,Asia,Desktop,4,3.0,11,90,990,0,Active,None
176,Basic,South America,Tablet,-2,0.0,29,25,725,0,Active,None
177,STANDARD,Asia,Mobile,-2,,3,50,150,0,Active,None
178,basic,South America,Desktop,1,3.0,21,25,525,1,Cancelled,Too Expensive
179,enterprise,NA,Mobile,8,3.0,32,150,4800,0,Active,None
180,basic,Europe,Mobile,12,0.0,30,25,750,0,Active,None
181,basic,South America,,10,0.0,11,25,275,0,Active,None
182,STANDARD,Europe,Tablet,16,4.0,17,50,850,0,Active,None
183,basic,Asia,Desktop,-2,4.0,25,25,625,1,Cancelled,Better Alternative
184,Basic,NA,Tablet,4,2.0,25,25,625,0,Active,None
185,Basic,South America,,0,1.0,9,25,225,0,Active,None
186,Premium,Asia,,16,0.0,29,90,2610,0,Active,None
187,enterprise,North America,Desktop,5,3.0,15,150,2250,0,Active,None
188,basic,Asia,Desktop,16,3.0,19,25,475,0,Active,None
189,basic,Europe,,15,4.0,15,25,375,0,Active,None
190,STANDARD,NA,Desktop,-2,1.0,35,50,1750,0,Active,None
191,Basic,NA,Mobile,12,0.0,13,25,325,0,Active,None
192,enterprise,Asia,Mobile,7,4.0,16,150,2400,1,Cancelled,Other
193,Premium,North America,,4,1.0,3,90,270,0,Active,None
194,Basic,Europe,Tablet,8,0.0,31,25,775,0,Active,None
195,Premium,Asia,Desktop,-1,3.0,1,90,90,0,Active,None
196,STANDARD,Asia,Desktop,9,3.0,35,50,1750,0,Active,None
197,STANDARD,NA,Mobile,-2,4.0,16,50,800,1,Cancelled,Too Expensive
198,basic,Europe,Desktop,9,1.0,1,25,25,0,Active,None
199,enterprise,North America,Tablet,4,3.0,14,150,2100,1,Cancelled,Other
200,Premium,NA,Desktop,11,1.0,7,90,630,0,Active,None
201,Basic,Asia,Desktop,17,4.0,23,25,575,1,Cancelled,Better Alternative
202,STANDARD,NA,Mobile,5,2.0,35,50,1750,0,Active,None
203,basic,NA,Desktop,7,1.0,29,25,725,0,Active,None
204,basic,South America,,18,,22,25,550,0,Active,None
205,Premium,NA,,17,1.0,16,90,1440,0,Active,None
206,STANDARD,NA,Tablet,-1,4.0,29,50,1450,1,Cancelled,Too Expensive
207,enterprise,Europe,Tablet,3,,6,150,900,1,Cancelled,Technical Issues
208,STANDARD,NA,Tablet,10,2.0,18,50,900,0,Active,None
209,Premium,North America,Tablet,11,3.0,29,90,2610,0,Active,None
210,Premium,Asia,Mobile,5,0.0,25,90,2250,0,Active,None
211,STANDARD,Europe,Desktop,16,4.0,2,50,100,0,Active,None
212,Premium,NA,Mobile,7,0.0,32,90,2880,0,Active,None
213,STANDARD,North America,Tablet,3,2.0,32,50,1600,0,Active,None
214,Basic,Asia,Desktop,8,,20,25,500,0,Active,None
215,STANDARD,Europe,,15,2.0,33,50,1650,0,Active,None
216,STANDARD,North America,Mobile,14,1.0,5,50,250,0,Active,None
217,Premium,NA,Desktop,9,0.0,6,90,540,0,Active,None
218,Premium,South America,,7,0.0,22,90,1980,0,Active,None
219,basic,South America,,-3,2.0,21,25,525,1,Cancelled,Other
220,basic,Europe,Tablet,2,,19,25,475,0,Active,None
221,Basic,North America,,17,0.0,15,25,375,0,Active,None
222,basic,Asia,,-2,3.0,34,25,850,1,Cancelled,Too Expensive
223,STANDARD,North America,Tablet,9,2.0,7,50,350,0,Active,None
224,Premium,South America,Desktop,9,1.0,17,90,1530,0,Active,None
225,basic,Europe,Desktop,15,1.0,5,25,125,0,Active,None
226,basic,NA,Tablet,5,1.0,2,25,50,0,Active,None
227,Basic,North America,Mobile,15,0.0,27,25,675,0,Active,None
228,Basic,South America,Tablet,19,2.0,24,25,600,0,Active,None
229,STANDARD,Asia,Desktop,-3,1.0,28,50,1400,0,Active,None
230,Premium,Europe,Mobile,19,2.0,1,90,90,0,Active,None
231,Basic,NA,Tablet,4,0.0,21,25,525,0,Active,None
232,basic,North America,Desktop,19,3.0,28,25,700,0,Active,None
233,Premium,Asia,Desktop,10,3.0,3,90,270,0,Active,None
234,Premium,NA,Desktop,12,3.0,30,90,2700,0,Active,None
235,basic,South America,,0,0.0,1,25,25,0,Active,None
236,Basic,South America,,14,1.0,18,25,450,0,Active,None
237,basic,Asia,Mobile,10,0.0,33,25,825,0,Active,None
238,Premium,South America,Mobile,5,2.0,15,90,1350,0,Active,None
239,enterprise,Europe,Mobile,11,3.0,24,150,3600,0,Active,None
240,enterprise,Asia,,-1,2.0,34,150,5100,0,Active,None
241,STANDARD,South America,Mobile,0,0.0,26,50,1300,0,Active,None
242,basic,North America,Desktop,19,4.0,22,25,550,0,Active,None
243,basic,South America,Desktop,14,4.0,16,25,400,1,Cancelled,Too Expensive
244,STANDARD,Europe,Mobile,10,0.0,16,50,800,0,Active,None
245,STANDARD,NA,Mobile,11,1.0,5,50,250,0,Active,None
246,STANDARD,NA,,4,,6,50,300,0,Active,None
247,Premium,South America,Desktop,6,2.0,24,90,2160,0,Active,None
248,basic,NA,Tablet,8,0.0,30,25,750,0,Active,None
249,Premium,South America,Tablet,17,0.0,32,90,2880,0,Active,None
250,STANDARD,Europe,,5,4.0,19,50,950,0,Active,None
251,basic,NA,,4,3.0,28,25,700,1,Cancelled,Other
252,Premium,North America,,13,3.0,8,90,720,0,Active,None
253,Premium,South America,Desktop,5,,1,90,90,0,Active,None
254,STANDARD,NA,Mobile,9,1.0,4,50,200,0,Active,None
255,basic,Europe,Mobile,10,1.0,22,25,550,0,Active,None
256,STANDARD,Europe,,1,,22,50,1100,0,Active,None
257,basic,North America,Desktop,5,1.0,30,25,750,0,Active,None
258,enterprise,Europe,Tablet,12,4.0,27,150,4050,0,Active,None
259,Basic,Europe,,15,0.0,27,25,675,0,Active,None
260,Basic,NA,Desktop,19,1.0,13,25,325,0,Active,None
261,Basic,South America,,3,4.0,27,25,675,1,Cancelled,Other
262,STANDARD,Asia,Desktop,8,2.0,8,50,400,0,Active,None
263,enterprise,Europe,Desktop,-2,0.0,12,150,1800,0,Active,None
264,basic,Europe,,14,,24,25,600,0,Active,None
265,Premium,Asia,Mobile,14,2.0,18,90,1620,0,Active,None
266,basic,Europe,,12,3.0,15,25,375,1,Cancelled,Too Expensive
267,Premium,NA,Mobile,7,3.0,16,90,1440,0,Active,None
268,basic,NA,Mobile,-2,0.0,33,25,825,1,Cancelled,Other
269,enterprise,Asia,Tablet,10,1.0,10,150,1500,0,Active,None
270,Premium,Europe,Desktop,0,0.0,24,90,2160,0,Active,None
271,STANDARD,Europe,,3,1.0,19,50,950,0,Active,None
272,basic,South America,Desktop,-2,,27,25,675,1,Cancelled,Technical Issues
273,basic,Europe,Tablet,17,3.0,31,25,775,1,Cancelled,Better Alternative
274,Premium,NA,Mobile,10,0.0,21,90,1890,0,Active,None
275,STANDARD,North America,,3,0.0,16,50,800,0,Active,None
276,STANDARD,North America,Desktop,5,,23,50,1150,0,Active,None
277,enterprise,North America,Tablet,4,1.0,14,150,2100,0,Active,None
278,STANDARD,North America,Mobile,5,3.0,23,50,1150,1,Cancelled,Better Alternative
279,STANDARD,Europe,Mobile,3,3.0,18,50,900,1,Cancelled,Other
280,STANDARD,Europe,Desktop,15,1.0,12,50,600,0,Active,None
281,Basic,South America,Mobile,13,,11,25,275,0,Active,None
282,enterprise,Europe,Tablet,19,1.0,5,150,750,0,Active,None
283,basic,North America,Mobile,9,,21,25,525,0,Active,None
284,Premium,Asia,,7,1.0,32,90,2880,0,Active,None
285,basic,Asia,,18,3.0,29,25,725,1,Cancelled,Other
286,enterprise,NA,Desktop,14,3.0,7,150,1050,0,Active,None
287,Premium,NA,Tablet,13,0.0,27,90,2430,0,Active,None
288,enterprise,Europe,Mobile,12,,6,150,900,0,Active,None
289,STANDARD,Asia,Mobile,6,3.0,4,50,200,0,Active,None
290,Premium,North America,Mobile,0,,35,90,3150,1,Cancelled,Other
291,STANDARD,North America,,0,,10,50,500,0,Active,None
292,basic,North America,Tablet,18,2.0,30,25,750,0,Active,None
293,basic,Europe,Mobile,7,2.0,9,25,225,0,Active,None
294,Premium,Europe,Desktop,17,1.0,16,90,1440,0,Active,None
295,Premium,South America,Tablet,4,,4,90,360,1,Cancelled,Too Expensive
296,enterprise,North America,Tablet,5,1.0,26,150,3900,0,Active,None
297,enterprise,North America,Mobile,12,1.0,29,150,4350,0,Active,None
298,STANDARD,Europe,,6,0.0,28,50,1400,0,Active,None
299,Premium,Europe,Tablet,19,2.0,11,90,990,0,Active,None
300,basic,South America,Desktop,5,2.0,28,25,700,0,Active,None
301,enterprise,South America,Tablet,-1,3.0,32,150,4800,0,Active,None
302,enterprise,NA,,-2,2.0,24,150,3600,0,Active,None
303,basic,Asia,Desktop,5,3.0,7,25,175,0,Active,None
304,enterprise,North America,,9,,18,150,2700,0,Active,None
305,STANDARD,North America,Mobile,2,0.0,3,50,150,0,Active,None
306,Premium,South America,Tablet,0,1.0,20,90,1800,1,Cancelled,Technical Issues
307,basic,South America,Desktop,10,1.0,34,25,850,0,Active,None
308,Premium,NA,,7,,30,90,2700,0,Active,None
309,enterprise,Asia,Mobile,-2,3.0,9,150,1350,1,Cancelled,Other
310,enterprise,NA,Desktop,-1,4.0,10,150,1500,1,Cancelled,Better Alternative
311,basic,Asia,Tablet,1,,6,25,150,0,Active,None
312,STANDARD,North America,Tablet,3,3.0,17,50,850,0,Active,None
313,Basic,NA,,7,,15,25,375,0,Active,None
314,basic,South America,Desktop,8,0.0,33,25,825,0,Active,None
315,Basic,NA,Mobile,7,,13,25,325,0,Active,None
316,Basic,NA,Mobile,15,,22,25,550,0,Active,None
317,STANDARD,North America,Mobile,9,2.0,16,50,800,0,Active,None
318,Basic,South America,,0,3.0,34,25,850,1,Cancelled,Low Usage
319,Basic,South America,Mobile,10,0.0,3,25,75,0,Active,None
320,STANDARD,Europe,Desktop,8,1.0,8,50,400,0,Active,None
321,Basic,Europe,,-2,4.0,20,25,500,0,Active,None
322,Basic,Europe,Tablet,4,4.0,24,25,600,1,Cancelled,Too Expensive
323,Basic,North America,,18,3.0,18,25,450,1,Cancelled,Other
324,basic,NA,,15,,23,25,575,0,Active,None
325,basic,South America,,9,2.0,1,25,25,0,Active,None
326,basic,South America,Desktop,17,,2,25,50,0,Active,None
327,STANDARD,NA,Tablet,17,3.0,5,50,250,0,Active,None
328,enterprise,South America,Tablet,-3,4.0,18,150,2700,1,Cancelled,Technical Issues
329,Basic,NA,,1,4.0,16,25,400,1,Cancelled,Technical Issues
330,Basic,North America,,18,,10,25,250,0,Active,None
331,STANDARD,North America,,7,,29,50,1450,0,Active,None
332,Basic,North America,Desktop,7,,35,25,875,0,Active,None
333,basic,NA,Desktop,9,1.0,25,25,625,0,Active,None
334,enterprise,NA,Mobile,-2,2.0,24,150,3600,0,Active,None
335,Premium,Asia,Tablet,15,2.0,13,90,1170,0,Active,None
336,Basic,South America,Mobile,12,4.0,21,25,525,1,Cancelled,Technical Issues
337,basic,South America,Mobile,1,4.0,34,25,850,1,Cancelled,Technical Issues
338,Premium,Asia,,10,3.0,19,90,1710,1,Cancelled,Other
339,enterprise,Asia,Desktop,15,3.0,28,150,4200,0,Active,None
340,Premium,North America,Mobile,1,1.0,27,90,2430,0,Active,None
341,basic,Asia,Mobile,17,4.0,26,25,650,0,Active,None
342,Premium,NA,Mobile,5,3.0,11,90,990,0,Active,None
343,STANDARD,Europe,,8,1.0,35,50,1750,0,Active,None
344,Premium,NA,,12,2.0,20,90,1800,0,Active,None
345,Basic,Asia,Desktop,15,4.0,12,25,300,0,Active,None
346,Basic,South America,Mobile,11,0.0,28,25,700,0,Active,None
347,STANDARD,NA,Mobile,13,4.0,2,50,100,0,Active,None
348,basic,South America,Desktop,11,3.0,1,25,25,0,Active,None
349,Basic,NA,Desktop,-1,4.0,9,25,225,1,Cancelled,Other
350,enterprise,South America,Desktop,13,0.0,22,150,3300,0,Active,None
351,Basic,NA,Tablet,9,4.0,27,25,675,0,Active,None
352,Basic,South America,Desktop,5,3.0,9,25,225,0,Active,None
353,basic,Europe,,9,2.0,7,25,175,0,Active,None
354,Premium,North America,Tablet,12,3.0,2,90,180,0,Active,None
355,Basic,NA,Desktop,15,1.0,5,25,125,0,Active,None
356,STANDARD,Europe,,10,3.0,17,50,850,0,Active,None
357,Premium,North America,Desktop,4,1.0,35,90,3150,0,Active,None
358,enterprise,NA,Desktop,18,4.0,8,150,1200,0,Active,None
359,basic,Europe,Tablet,15,1.0,3,25,75,0,Active,None
360,enterprise,Europe,,-1,,3,150,450,0,Active,None
361,Premium,Europe,Mobile,19,4.0,1,90,90,0,Active,None
362,Premium,Asia,Desktop,17,1.0,24,90,2160,0,Active,None
363,Premium,South America,Tablet,14,3.0,30,90,2700,0,Active,None
364,enterprise,North America,,12,0.0,26,150,3900,0,Active,None
365,Premium,South America,Desktop,10,4.0,3,90,270,0,Active,None
366,enterprise,South America,Mobile,12,1.0,13,150,1950,0,Active,None
367,Premium,South America,,13,0.0,12,90,1080,0,Active,None
368,STANDARD,Europe,,16,1.0,20,50,1000,0,Active,None
369,Premium,South America,Tablet,7,1.0,8,90,720,0,Active,None
370,enterprise,Asia,Desktop,9,1.0,2,150,300,0,Active,None
371,Basic,NA,Desktop,7,3.0,11,25,275,0,Active,None
372,Premium,Europe,,0,1.0,21,90,1890,0,Active,None
373,Basic,North America,Desktop,10,0.0,6,25,150,0,Active,None
374,STANDARD,NA,,1,,19,50,950,1,Cancelled,Too Expensive
375,basic,NA,Mobile,0,1.0,30,25,750,0,Active,None
376,STANDARD,NA,Tablet,-3,,20,50,1000,0,Active,None
377,Premium,South America,Desktop,10,2.0,10,90,900,0,Active,None
378,Basic,South America,Desktop,3,4.0,24,25,600,1,Cancelled,Too Expensive
379,Basic,Europe,Tablet,6,3.0,33,25,825,0,Active,None
380,enterprise,South America,Mobile,-2,2.0,29,150,4350,1,Cancelled,Technical Issues
381,Basic,South America,Mobile,6,2.0,30,25,750,0,Active,None
382,enterprise,South America,Mobile,-1,0.0,6,150,900,0,Active,None
383,basic,Europe,Mobile,17,0.0,14,25,350,0,Active,None
384,Premium,Europe,Mobile,4,,3,90,270,1,Cancelled,Low Usage
385,enterprise,Asia,,6,,24,150,3600,0,Active,None
386,basic,Asia,Desktop,4,3.0,19,25,475,0,Active,None
387,Basic,Asia,Desktop,10,3.0,34,25,850,1,Cancelled,Technical Issues
388,Basic,Asia,Desktop,14,4.0,9,25,225,0,Active,None
389,basic,NA,,5,1.0,30,25,750,0,Active,None
390,Basic,NA,Tablet,18,3.0,32,25,800,0,Active,None
391,basic,Asia,Mobile,5,3.0,13,25,325,1,Cancelled,Other
392,enterprise,Asia,Tablet,0,,18,150,2700,1,Cancelled,Technical Issues
393,enterprise,North America,Mobile,-1,1.0,22,150,3300,1,Cancelled,Technical Issues
394,basic,NA,Mobile,10,4.0,4,25,100,0,Active,None
395,enterprise,North America,Tablet,10,0.0,23,150,3450,0,Active,None
396,enterprise,North America,Desktop,17,4.0,7,150,1050,0,Active,None
397,enterprise,South America,,12,1.0,11,150,1650,0,Active,None
398,STANDARD,Europe,Tablet,1,0.0,34,50,1700,0,Active,None
399,Premium,NA,Desktop,16,0.0,5,90,450,0,Active,None
400,Basic,Asia,Mobile,19,0.0,25,25,625,0,Active,None
401,STANDARD,Asia,Desktop,11,4.0,28,50,1400,0,Active,None
402,enterprise,Europe,Mobile,17,,14,150,2100,0,Active,None
403,basic,NA,Mobile,5,1.0,27,25,675,0,Active,None
404,enterprise,Asia,Desktop,3,4.0,16,150,2400,0,Active,None
405,Premium,Asia,Mobile,9,4.0,27,90,2430,0,Active,None
406,enterprise,South America,,19,2.0,2,150,300,0,Active,None
